id,sentiment,reason,confidence,feedback,original_review,category
88,negative,"The review expresses disappointment with the movie, finding it lacking in its message and purpose. While noting some positives, the overall sentiment is negative.",0.8,Refocus the movie to more clearly articulate the core message of following Jesus and reduce distractions.,"Huh?: After watching this movie, the biggest question in my mind is: Huh? What was the point of the film? I bought this expecting a film on the reality of following Jesus. There was only a cursory treatment of some of the issues that the church faces (i.e. church-goers vs. Jesus-followers). If I was a skeptic I could appreciate their honesty but there's nothing in it that would make me say ""OK I want to follow Jesus."" I also found their discussion about the opposite sex distracting from the message of the film. There were two positives however. The second-to-last chapter (Lucerne Switzerland) contains the most profound statement in the film. And it was pretty funny.",Quality
91,negative,"The review criticizes the book for being disorganized, incomplete, and lacking essential information and examples.",0.9,"Improve the book's organization, add a comprehensive index, and include more examples and illustrations, especially for the 'wm' and 'delete all' commands.","Disorganized, incomplete, and unfriendly: The book has lots of information but one has to go through lots to loops to get to where the information should be and then it may not be there.E.g., the index has no mention of the 'wm' command--one that I often encounter.E.g., another book implies that there is a canvas command 'delete all'. After I finally got to page 61, I found the 'delete' command but NOT any hint that one can use the 'all' command to delete all the objects on the canvas.Another example, even though the book purports to cover TK--the visual side of the language--I find just one chart, .Needless to say, there are very few examples.",Design
93,negative,"The review expresses extreme dissatisfaction with the movie, calling it ""terrible"" and ""awful"".",0.9,"Improve the quality of the movie by focusing on a more coherent and suspenseful storyline, rather than relying on cheap humor.","0 STARS: AWFUL!!: ""Freddy's Dead- The Final Nightmare"" is a terrible installment to what was a great horror movie series. This movie is a total joke just like the previous two sequels before it...this garbage, a horror movie?? Give me a break!! This movie is not scary...it's ridiculous!! I highly recommend sticking with parts 1-3, which are undoubtedly the only ""NOES"" movies that should have ever been made. This movie sucks...shame on the people that made this trash.",Quality
95,negative,"The review expresses strong disagreement with the author's philosophy, criticizing it as illogical and ignoring human nature.",0.9,"Revise the book to acknowledge and address the human tendency towards change and self-improvement, rather than solely advocating for acceptance of the status quo.","Hoff doesn't really understand human nature.: I don't know if it's a flaw in Taoism or in Hoff's logic, but he preaches the importance of appreciating things as they are and not struggling against them, while ignoring the fact that the nature of humanity is to change things. Humans struggle to become (or at least appear) other than what they are, and this involves changing the self and the things around oneself. Hoff foolishly ignores this and reduces humanity to the level of fish that are trying in vain to whistle.",Quality
96,negative,"The review expresses extreme dislike for the song and artist, using harsh and critical language.",0.85,Replace the song with a more original and less offensive composition.,"Hoku is a hit... with children five and under that is!: Hoku's ridicousily stupid ""Another Dumb Blonde"" is possibly one of the stupidest songs ever writen. Hoku didn't even write the song and the melody and lyrics are horid. Hoku is no small package thoiugh- she's two doughnuts away from 200. The title alone states perfectly what she is- another dumb blonde.",Quality
97,negative,"The review expresses disappointment with the product's quality, comparing it unfavorably to older versions and citing concerns about manufacturing and materials.",0.92,"Improve the product's quality and durability by using better materials and manufacturing processes, and ensure the color and text are more visible.","Not like the ones I've seen--not as good: Instead of being a better product, this one is made cheaper and seems flimsy and doesn't respond like the ""older"" versions. Aren't things supposed to get better? This one is made in China--where all the leaded paint and computer things are being messed with/sabatoged?Wish I'd gone into a store and looked at it, held it (this one is lighter & not good quality) and the color is dark (not the bright red or blue I've always used/seen) and hard to read the text, too.Would have sent it back, but for the shipping costs (which ran up the price).",Quality
98,negative,"The review strongly criticizes the book as ""self-indulgent tripe"", using sarcastic and dismissive language.",0.95,"Rewrite the book using clearer and more concise language, avoiding overly complex vocabulary and sentence structures.","self indulgent tripe: ""What secondtonone myther rector and maximost bridges-maker was the first to rise taller through his beanstale than thebluegum buaboababbaun or the giganteous Wellingtonia Sequoia;went nudiboots with trouters into a liffeyette when she wasbarely in her tricklies; was well known to claud a conciliationcap onto the esker of his hooth""If I wrote this and attempted to pass this off as a novel, no one would ever read it. If they did, they would correctly assume that I am, in fact, a pompous erudite fool. And by the way, I know that there are a million academics rating this book that will come on here and tell me how completely wrong my point of view is. But guess what?--I don't care and I'll never actually read any of your responses. Save it for your poor students and old, bearded friends wearing tweed jackets with elbow patches.To the rest of you (normal people)--stay away from this book.",Quality
99,negative,"The review describes a product defect (broken blade) that occurred soon after purchase, expressing dissatisfaction with its quality and stability.",0.88,Improve the fan's base to prevent tipping and breakage.,"Cheap but not worth it.: First day I had the fan, I turned it on, walked away and two minutes later it fell over and one of the blade's broke right off. I thought the fan had exploded! The air flow was ok, but it needs to be securely attached to something or it will fall over.",Design
100,negative,"The review expresses strong dissatisfaction with the film, citing its unoriginality and boring plot.",0.9,"This is a review of a film, not a product. No product improvement is needed.","A Wildly Overrated Film!!: I cannot believe how many people loved this film. It is grossly overrated. Discussions around this film center on its ""groundbreaking"" backwards structure. Well, there is a little known film from the early 1980's called ""Betrayal"" starring Jeremy Irons and Ben Kingsley. It is a film about a love triangle that is told backwards. TV's Seinfeld did a riff on Betrayal with the Indian Wedding episode. So this film is hardly groundbreaking. As for the story, I found it boring. Yet another revenge story, HO HUM. This film is just yet another variation on the Pulp Fiction influence.",Entertainment Quality
102,negative,The review expresses disappointment with the game's graphics and camera views.,0.85,Improve the game's graphics and camera controls.,okay game: this game [disappoints]i thought this would be a good game but the graphics [disappoint]and the camera views are awful,Design
103,negative,The review expresses disappointment due to the mislabeling of the product size.,0.95,Improve the accuracy of the shoe sizing and labeling.,"Mislabeled: I have worn Keds sneakers for many years, always ordering size 6.5.The label in the sneaker and the box are labeled 6.5, but this sneaker is at most size 5, or it is a child's sneaker.Very disappointed.",Quality
105,negative,"The review expresses extreme dissatisfaction with the movie, criticizing the acting, script, direction, and story.",0.95,"This is a review of a film, not a product. No product improvement is needed.","Pretty bad: Very bad Keanu Reeves film that could be one of the worse films ever made. Keanu sinks it up so badly that he should be thrown out of Hollywood all together and they should include the director and the screenwriters as well because the movie is as bad as Keanu's performance. Out of the entire cast only Rachel Weisz gives a real performance in this movie and she is so good in fact that she does almost redeems the entire film but not even her great talent could save it from the script, which is excruciatingly bad and the direction, which is as bad as the script and lacks focus for what its trying to accomplish. The story makes no sense and manages to go against itself in certain scenes and the climax literally destroys the narrative that the movie was trying to build up.Maybe asking for a competed director and a lead actor who can act was a tall order for the producers of this film.",Entertainment Quality
108,negative,"The review expresses strong dislike for the CD, describing it as ""HORRIBLE"" and contrasting it with the Beatles.",0.92,Offer a money-back guarantee or exchange policy for dissatisfied customers.,"Can't believe I bought this: One word for this cd: HORRIBLE. I tried to listen to this four times and hated it more with each play. I can't begin to tell you how awful this cd is. I was reading the 5 star reviews on here with bewilderment. Then one of these reviews calls this 'the anti- Beatles' and this person goes on to say the Beatles are hated. It makes sense now. If you hate great music, you'll love this cd. If you love great music, you'll hate this cd.",Service
110,negative,"The review expresses extreme dissatisfaction with the film, citing a lack of plot and overall poor quality.",0.95,Provide clearer descriptions and reviews highlighting potential plot issues.,"Horrid Film: This is still to this day one of the most awful films i ever saw. I took a girl on a date for this movie and wow, what a mistake. The movie has no real plot and just gets worse as you watch it more.",Design
111,negative,"The review expresses disappointment with the book's clarity and usefulness, suggesting it may only appeal to a niche audience.",0.8,Improve clarity and readability by revising the text or offering a simpler version.,"Heavy going: It is my belief that people who really know what they are talking about can explain their thoughts clearly. I cannot be sure if the fault in this book is with the original author or the translator, but it certainly does not measure up to this criterion. It may be of interest to photography academics, but I doubt if a photographer will get much out of it that is useful.",Design
112,negative,"The review details a malfunctioning product and negative customer service experience, recommending against purchase.",0.92,Improve the phone's water and humidity resistance.,"Susceptible to Humidity: External display failed within one month. Moisture sensor dot showed red, so Verizon would not honor warranty. Verizon employees smugly said that it must have gotten water spilled on it. This phone had never had water on it, but I had taken it skiing a couple of times, but kept it securely tucked in my zipped sweater pocket, inside my waterproof/breathable jacket. Also took it to an indoor pool facility to watch a swim meet once. I understand others have had similar humidity problems too, especially with the Motorola phones. Stay away unless you live in the desert.",Quality
113,improvement,"While respecting Fischer's playing abilities, the reviewer points out the book's omissions as areas for improvement.",0.85,Include additional biographical details and controversial information about Bobby Fischer.,Ended up not liking Bobby Fischer: I must respect Bobby Fischer as a player. But I learned some stuff that doesn't make me respect him as a person. I have read more things about Fischer which this book leaves out and should have been put in.,Design
116,negative,"The review highlights poor DVD quality due to compression issues, resulting in a jerky effect and grainy image, making the VHS version preferable.",0.9,Use a higher-quality compression algorithm for the DVD release of Fawlty Towers to reduce the jerky effect and graining.,"Fawlty Towers - The Complete Series, DVD: The Fawlty Towers episodes are hilarious and deserve their growing cult status. However, this DVD set is poor quality and not recommended. The problem is the compression used in order to fit the series on three DVDs: the frame-rate has been significantly reduced. This would be mostly unnoticeable on a slow moving film, but there is considerable amounts of fast movement in Fawlty Towers, so the result is a very distracting, jerky effect where actors magically jump from one position to the next. There is also a graining quality to the image that suggests other types of compression. What's the point of a DVD when the VHS delivers better viewing?",Quality
117,negative,"The review expresses disappointment, citing inane lyrics, lack of song differentiation, and headache-inducing bitter lyrics as significant drawbacks.",0.85,"Rework the album to improve song differentiation, reduce the use of inane lyrics, and lessen the intensity of the bitter lyrics.","A decent album, I've heard a lot better though...: Although I'll admit this CD has its charms, I firmly believe that it should not garner a five star rating. The detriments to this album include the following: first, the album is full of Lauryn Hill speaking inane lyrics that faintly resemble some sort of electronica instrument; second, the songs lack differentiation (as in they are mostly the same beat.); and finally, the bitter lyrics really give me a headache. (Disregard the rambling run-on sentances.)",Design
118,negative,"The review states that the item received was a bootleg and did not match the picture, expressing strong dissatisfaction.",0.92,Improve the quality control process to prevent the sale of counterfeit products.,BAD!! Don't buy IT: This item doesn't even look like the one the picture... It's not the real thing and it's a bootleg one..,Quality
122,negative,"The review criticizes the storyline and recipes as ""trite"" and using ""Campbell's soup"", expressing overall dissatisfaction.",0.8,Include more gourmet and authentic Mexican recipes in the cookbook.,"Trite story line with poor recipes: I was new to Guanajuato and enjoyed the parts of the book the discuss the city. But the story line was trite, even contrived. THe ""culinary"" part of the mystery included recipes that, while tasty, are hardly gourmet -- they mostly consisted of things made with Campbell's soup. Not one that I recall was indigenous to Mexico. At least it was a quick read.",Design
126,negative,"The review expresses extreme dissatisfaction with the movie's plot, describing it as ""sucked"" and lacking a reason for its events. The reviewer states they will never watch it again.",0.95,Develop and include a more compelling plot to explain the protagonist's time-loop experience.,No plot: The story plot of this movie sucked. It started going on a boat trip it ended going back on the same boat trip. She was in this time still world that she kept re-livin. The question is WHY. The movie did not give a reason. What happened to make her go into this state. It started in the time still state and ended the same way. I will never watch this movie again. I gave it one star because that is lowest grade I can go.,Design
128,negative,"The review expresses strong negative feelings towards the product, calling it a ""complete mess"" and a ""disaster"". The reviewer explicitly states they are turned away from wanting to experience more of the product.",0.9,Release SciFi Wasabi as an EP or album instead of a single.,You've got to be kidding!: Why would they release such a complete mess like SciFi Wasabi as a single?...completely turns me away from wanting to hear the rest. Musically and lyrically a disaster. I'd rather sit through karaoke night at the local drinking dive.,Design
129,negative,"The review expresses dissatisfaction with the product's large handle, making it difficult to use, especially for those with small hands. The reviewer states they will be returning to their old peeler.",0.85,Offer the peeler with a smaller handle size option.,bulky: The blade is good but the huge handle makes it hard to use. Someone with small hands would find this very unweildy. I bought this to replace an old peeler of similar design but with just a simple metal handle. I shall be going back to using that.,Design
130,negative,"The review expresses significant problems with the Kindle Touch version, citing lack of Table of Contents and abbreviation list.",0.9,Add a Table of Contents and abbreviation list to the Kindle Touch version.,"Caution before downloading: The Kindle Touch version has been problematic for me. I can find no Table of Contents, and no listing for the all important abbreviation needed for ""this book."" I appreciate that the download was free, now I know why. Discouraged.",Design
136,negative,The reviewer is disappointed that the audio quality is not as advertised and that the disc does not play properly in various devices.,0.9,Ensure the CD Audio side is playable in standard CD players and provide true DVD-Audio using MLP.,Not a true CD Audio or DVD Audio Disc: I'm a big bjork fan - I'm also a big fan of the higher fidelity DVD Audio format and remastered CD sound (although some remasters are atrocious) - so I thought this disc was a great buy.However I wasn't pleased to find that the CD Audio side won't play in the car or on the computer as it's not recognized as a CD Audio disc (apparently not uncommon with Dual Discs) - just as frustrating is the lack of true DVD-Audio using MLP (Meridian Lossless) which is superior to the Dolby and DTS surround sound provided here. Interestingly my computer was happy to read the DVD side but reports the surround sound as 48/24 for both Dolby and DTS not the 96/24 claimed. If you are looking for the superior audio you thought this disc offered - then you'll need to be happy playing it on your DVD player only. Disappointing. I already own the videos on DVD - so I haven't taken that into consideration in this review.,Quality
138,negative,"The review expresses disappointment with the quality of the content, describing it as ""grade F quality \""pornography\"""".",0.8,Improve the video quality and the attractiveness of the models.,"Probably the closest you'll get to hardcore on her.: I had a friend show me this a while back and believe me this isn't hardcore or anything, but its a lot closer to it than Girls Gone Wild. There isn't any actual Sex in it but it does show a LOT of vagina. Don't get your hopes up yet though. Most of the girls aren't that hot and a lot of their vaginas aren't the best looking either. ESPECIALLY the chick on the front, Kobe or whatever. Hers in the worst. But if you're desperate and actually want to fork over money for grade F quality ""pornography"" than by all means.",Quality
139,negative,"The reviewer complains about late shipping, bad product quality, and poor service from the seller.",0.92,Improve shipping speed and accuracy to ensure timely delivery and match product descriptions.,"worth product i never got from Amazon website before: i ordered this book on june 14, i didn't get the item till amonth later. The shipping suck. finally, i got the book after my school already start, it was too late for my class. It's totally bad quality differ from what the seller detail. Bad Service, bad product. never buy anything from the seller again.",Shipping
140,negative,"The review expresses extreme dissatisfaction with the movie, calling it ""the worst horror flick ever made"".",0.95,"This is a review of a movie, not a product.  No product improvement is applicable.","Halloween 3 is a classic... piece of Garbage!!!!: Halloween 3 is the worst horror flick ever made, I would rather eat Guano while sitting on thumbtacks and drinking bile while watching Leprechaun in Space, than watch this 98 minute slaughter of the prestigous Halloween series. What was John Carpenter smoking when he came up with the worst possible idea in the history of horror films. If you purchase this film then you have just donated your hard earned money to foundation of crappy movies! Remember, Have a Happy Halloween From Silver Shamrock!!!!!",Entertainment Quality
141,improvement,"The review acknowledges the book's shortcomings (""fails in its promise"") but also finds it to be ""good fiction"".",0.8,"Provide clearer and more substantiated evidence to support the author's claims, improving the overall argument's clarity and persuasiveness.",Great Work Of Fiction: Its a shame this book fails in its promise to expose a conspiracy but it makes for some good fiction. The author seems to feel that FDR was a communist and the reason he allowed Pearl Harbor to be attacked is to spread communisim around the world.I was left confused and bewilderd by Mr. Willey's arguments as most of the evidence presented was taken out of order or mixed and matched to fit his argument.,Book Content
142,improvement,"The review is mostly positive, mentioning the ring fits well and sparkles, but also notes that it ""doesn't look expensive"".",0.75,Offer a wider variety of sizes and styles to better cater to customers with smaller ring sizes.,"Decent: After having a lot of trouble finding a wedding band for my small ring finger, I decided on this one. This is the 4th ring I've tried. It fits nicely and looks fine with my small diamond solitaire. Has a good amount of sparkle but definitely doesn't look expensive. Don't let anyone look too closely!",Design
144,negative,"The review strongly criticizes the movie, calling it ""terrible"" and advising against watching it.  It highlights a lack of plot and substance.",0.9,"This is a review of a movie, not a product. No product improvement is applicable.","Terrible movie a waste of 2 hours: If your into an endless chase movie without any real plot or substance than this movie is for you. The movie runs forever without any fluidity to the storyline. Bruce willies, an over the hill detective, is forced to chose whether his going to line up with his old squad and eliminate a witness that is about to bring a lot of ""good guys "" from Willis's old squad or whether he is going to do the right thing and bring the witness to court so he can testify against the corrupted cops. Well the choice is obvious and from there the never-ending chase begins. Overall just a terrible movie. Don't waste 2 hours of your life on this one. Edan Aharony.",Entertainment Quality
149,negative,"The reviewer expresses significant dissatisfaction with the HDMI cable's poor quality, resulting in choppy and blurry images.",0.92,Improve HDMI cable quality to reduce signal loss and improve picture clarity.,"Very poor quality for HDMI: After two years of using component cables for my Xbox 360, and a year of using a Monster HDMI cable for my PS3, I decided that the difference in quality between the two was noticable enough for me to go out and buy another HDMI cable for my Xbox. After shopping around, and seeing the price and reviews for this cable, I bought it, and in all honesty, this cable is much worse than even my component cables. I tried a few different movies, and a few different games, all to no avail. Characters in my games are choppy, and pixelated, and all of the movies, even in HD quality are blurry. I decided to switch the two cables to see if it was just my Xbox, and immediately noticed the difference. This is a poor cable and I would not reccomend it to anyone who cares about the quality of the graphics on their screen.",Quality
151,negative,"The reviewer expresses significant disappointment with the game, advising against purchase, especially for children.  A strong preference for another game is voiced.",0.9,Improve game quality and add more engaging content.,Oh well...: i should of listened. i would give the free ride a 2 out of 5 and the story mode a 3 1/2. its not as good as i expected. DO NOT BUY THIS GAME! especially if your a kid who rarely gets money and rarely buys games. save your money and reserve a copy of grand theft auto san andreas. Never before have i ever been more anxious about a game more than grand theft auto and it has always been as good as i expected. read more about my review on grand theft auto san andreas titled i cant wait by jacob from somewhere.,Quality
153,negative,"The review criticizes the book's plot, characters, and mystery elements, finding them simplistic and uninteresting.  It compares unfavorably to other mystery fiction.",0.88,Develop more complex and engaging plotlines with less predictable solutions.,"Too simplistic: While the characters are mildly engaging, the plotlines in this book are rather uninteresting. I found the solutions to the mysteries glaringly obvious, and I am not one of those people who can routinely figure out whodunit by page 15. Precious Ramotswe is a likable but bungling detective who repeatedly gets found out by the people she is supposed to be trailing (yes, I know it's part of the plot, but it's rather irritating). The novel is just barely worth reading for the pleasant local color, but as far as intelligent mystery fiction goes, I would rather reread any Dorothy Sayers novel--except the execrable _Thrones, Dominations_, completed posthumously by another author--for the umpteenth time, than continue following Mma Ramotswe's career.",Design
154,negative,"The review details significant issues with diaper leaks, leading to frequent clothing changes and expressing dissatisfaction with the product.",0.9,Improve diaper absorbency to prevent leaks and reduce the need for frequent clothing changes.,Not my favorite: We used Pampers sensitive swaddlers for my son but by the time he was size 3 they did not work. The swaddlers didn't have good protection and he would poop out of them. We decided to try baby dry. They are awful every diaper he either pees or poops out of. Now I am constantly washing his clothes and going through at least 3 outfits a day. I am really not happy with Baby Dry. I loved Pampers but a friend of mine told me she had same problem with the larger sizes of Pampers and had to switch to huggies. :(,Quality
155,improvement,The review praises the tripod's quality but suggests improvement by providing a list of compatible Sony cameras.,0.85,Provide a comprehensive list of compatible Sony cameras for the remote control.,"Nice but Sony must give us more info: This is a very nice tripod, is strong, elegant and cool, I love it, but the only trouble that I find it, it is that this cool gadget does not have a detail list of compatible sony cameras, I mean I am an owner of 2 sony cybershot camera`s, the W80 and H2 and I am not able to use the remote control with my cameras, only because Sony do not give us that information",Other-Unclassified
156,negative,"The review expresses strong dislike for the movie, criticizing its plot, characters, and overall quality.",0.9,Improve the storyline to be less predictable and make the main character more likable and less whiny.,I wanted to like it I really did!: I thought it was slow and predictable. Tobey was good as Spiderman but his character seemed a bit whiny and was too much of an idiot. I don't get it why everyone likes Spiderman so much it's not that good of a movie. I didn't like the first one much either both Spiderman movies suck and I hope the 3rd one will be better but it will probably be the same as the first two. It's in my opinion if I didn't like it don't get mad why I didn't like it I just didn't like it.,Design
157,negative,"The review expresses extreme dissatisfaction with the book, finding it boring and poorly plotted.",0.88,Rewrite the book to have a more engaging plot and a stronger climax.,"BORING: I have never read a book that was so boring. The book talked about a jewish girl helping out a nazi. Nothing happens inthe begining and the climax is the girl housing the nati. WOW,NOT! Weas a class read this book as a class and i asked everyone what they thought of the book. They all agreed with me!",Design
158,improvement,"The review is mostly positive about the response and shipping, but notes that the DVD's condition was poor.",0.75,Improve the quality control of DVDs to ensure they arrive in perfect condition.,DVD: The response was great and the shipping was great but the DVD was not in good shape. It fades in and out and is difficult to watch. But all and all it was ok.,Quality
159,negative,"The review describes significant and recurring technical issues with the printer, leading to dissatisfaction and a decision to purchase a different brand.",0.92,Improve the printer's internal software to prevent random paper jams and ensure reliable printing.,"Goes ""Haywire"" Regularly: Setup was easy enough, but this printer routinely goes haywire, spitting out a whole cartridge load of paper and refusing to print. I have tried it with several different PCs, with this same intermittent weird behavior. Only a reset of both the printerand the computer seem to fix everything.I'm off to buy an Epson!",Quality
161,negative,"The reviewer finds the product difficult to use and suggests a simpler alternative, indicating dissatisfaction.",0.75,"Redesign the card holder to make it easier to insert and reposition cards, simplifying its use.","It does the job: If you can't hold the cards, this will work but I believe they lost sight of their purpose and are trying to address a problem from outside the box. The idea is to make it easier for the individual. It can be difficult to get the cards in place and then change their positions defeating the fundamental purpose. A block of wood will do better. The card holder shouldn't be a game within a game.",Design
162,improvement,The reviewer points out a design flaw (double-sided with same content) but acknowledges the product's good concept otherwise.,0.8,"Make the card single-sided, showing all months and days of the week on one side.","Double-sided for the same subject-why?: Like the other reviewer said they are double-sided which would be fine if what was on the back was a completely different subject but it's the same (half the months are on one side, half on the other and the same with the days of the week, etc.) so you can never look at all of the subject at one time. Otherwise, it's a good idea.",Design
166,negative,"The review expresses extreme dissatisfaction, describing the book as ""the worst thing ever"" and ""really, really boring"".",0.9,Rewrite the book to be more engaging and less boring for young readers.,"dont read this book!: My english teacher read this book outloud to us. It was the worst thing ever. I feel asleep every day he read it because it was so boring! It seemed like it took forever to finish so dont read this book unless you want somthing really, really boring!",Quality
168,negative,"The review expresses strong regret and describes the car seat as ""the WORST to clean"" and overall ""horrible"".",0.95,"Redesign the crotch latch to be longer and more comfortable, and simplify the pad removal and reattachment process for easier cleaning.","horrible: Purchased because it was a good price and was comfortable for baby. Regret completely. The crotch latch is so short and uncomfortable for baby. Worst problem was trying to remove the pad for cleaning. Out of three carseats owned, this is the WORST to clean and put back together. Horrible!",Design
